sample	taxonomy	reads
Hexadecane70	"Archaea;Hadesarchaea;uncultured archaeon"	477
Hexadecane70	"Bacteria;Acetothermia;uncultured bacterium"	112
Hexadecane70	"Archaea;Aigarchaeota;Aigarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Caldiarchaeum"	40
Hexadecane70	"Archaea;Bathyarchaeota;uncultured archaeon"	40
Hexadecane70	"Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum"	21
Hexadecane70	"Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;20c-4;uncultured archaeon"	16
Hexadecane70	"Archaea;Korarchaeota;Korarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Korarchaeum"	15
Hexadecane70	"Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus"	12
Hexadecane70	"Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;pMC2A24;uncultured archaeon"	12
Hexadecane70	"Bacteria;Chloroflexi;Thermoflexia;Thermoflexales;Thermoflexaceae;Thermoflexus"	10
Hexadecane70	"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;uncultured"	9
Hexadecane70	"Bacteria;Acetothermia;terrestrial metagenome"	9
Hexadecane70	"Archaea;Marine Hydrothermal Vent Group 1(MHVG-1);uncultured archaeon"	5
Hexadecane70	"Archaea;Hadesarchaea;uncultured euryarchaeote"	5
Hexadecane70	"Archaea;Bathyarchaeota;uncultured crenarchaeote"	4
Hexadecane70	"Archaea;Candidate division YNPFFA;uncultured archaeon"	4
Hexadecane70	"Bacteria;Thermotogae;Thermotogae;uncultured;uncultured bacterium"	4
Hexadecane70	"Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium"	4
Hexadecane70	"Archaea;Thaumarchaeota;Group C3;uncultured archaeon"	4
Methane70	"Archaea;Bathyarchaeota;uncultured archaeon"	7318
Methane70	"Bacteria;Acetothermia;uncultured bacterium"	6754
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum"	5346
Methane70	"Archaea;Aigarchaeota;Aigarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Caldiarchaeum"	3183
Methane70	"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus"	2148
Methane70	"Archaea;Candidate division YNPFFA;uncultured archaeon"	2084
Methane70	"Archaea;Hadesarchaea;uncultured archaeon"	2069
Methane70	"Archaea;Euryarchaeota;Methanomicrobia;ANME-1;uncultured archaeon"	1826
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;uncultured"	1701
Methane70	"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;uncultured"	1541
Methane70	"Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus"	1197
Methane70	"Archaea;Korarchaeota;Korarchaeota Incertae Sedis;Unknown Order;Unknown Family;Candidatus Korarchaeum"	1183
Methane70	"Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;20c-4;uncultured archaeon"	1171
Methane70	"Archaea;Thaumarchaeota;Group C3;uncultured archaeon"	1156
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG);uncultured archaeon"	1106
Methane70	"Bacteria;Chloroflexi;Thermoflexia;Thermoflexales;Thermoflexaceae;Thermoflexus"	966
Methane70	"Bacteria;Thermodesulfobacteria;Thermodesulfobacteria;Thermodesulfobacteriales;Thermodesulfobacteriaceae;Caldimicrobium"	953
Methane70	"Archaea;Aigarchaeota;Terrestrial Hot Spring Gp(THSCG);uncultured archaeon"	844
Methane70	"Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales;Bacteriovoracaceae;HotSeep-1"	633
Methane70	"Archaea;Bathyarchaeota;uncultured crenarchaeote"	504
Methane70	"Archaea;Marine Hydrothermal Vent Group 1(MHVG-1);uncultured archaeon"	453
Methane70	"Archaea;Crenarchaeota;Thermoprotei;HTM1036S-A29;uncultured archaeon"	439
Methane70	"Bacteria;Thermotogae;Thermotogae;EM3;uncultured bacterium"	434
Methane70	"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus"	379
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus"	377
Methane70	"Bacteria;Acetothermia;terrestrial metagenome"	282
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrodictium"	229
Methane70	"Archaea;Aigarchaeota;Terrestrial Hot Spring Gp(THSCG);unidentified archaeon"	200
Methane70	"Archaea;Candidate division YNPFFA;uncultured crenarchaeote"	197
Methane70	"Archaea;Bathyarchaeota;uncultured sediment archaeon"	180
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus"	173
Methane70	"Archaea;AK8;uncultured archaeon"	157
Methane70	"Archaea;Euryarchaeota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;uncultured archaeon"	154
Methane70	"Bacteria;AC1;uncultured bacterium"	152
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera"	148
Methane70	"Archaea;Marine Benthic Group E;uncultured archaeon"	145
Methane70	"Bacteria;Parcubacteria;uncultured bacterium"	134
Methane70	"Bacteria;Thermotogae;Thermotogae;uncultured;uncultured bacterium"	131
Methane70	"Archaea;Thaumarchaeota;FS243A-60;uncultured archaeon"	130
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;uncultured"	128
Methane70	"Archaea;Marine Hydrothermal Vent Group 1(MHVG-1);unidentified archaeon"	122
Methane70	"Archaea;Bathyarchaeota;Candidatus Bathyarchaeota archaeon B24"	122
Methane70	"Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;20c-4;uncultured sediment archaeon"	120
Methane70	"Archaea;Thaumarchaeota;Group C3;marine metagenome"	118
Methane70	"Archaea;Crenarchaeota;Thermoprotei;Terrestrial Miscellaneous Gp(TMCG);uncultured crenarchaeote"	108
