auto-profile;reading;position [um];date;time;H2S;Oxygen;pH;Redox
1;1;-55500;09.11.2018;11:27:19;-4.61E-01;4.45E-02;-1.24E-02;-2.41E-01
1;2;-55000;09.11.2018;11:27:32;-3.80E-01;3.93E-02;-1.22E-02;-2.40E-01
1;3;-54500;09.11.2018;11:27:44;-3.42E-01;3.70E-02;-1.21E-02;-2.39E-01
1;4;-54000;09.11.2018;11:27:56;-3.37E-01;3.48E-02;-1.19E-02;-2.30E-01
1;5;-53500;09.11.2018;11:28:08;-3.35E-01;3.40E-02;-1.17E-02;-2.30E-01
1;6;-53000;09.11.2018;11:28:19;-3.39E-01;3.44E-02;-1.15E-02;-2.30E-01
1;7;-52500;09.11.2018;11:28:31;-3.39E-01;3.55E-02;-1.14E-02;-2.29E-01
1;8;-52000;09.11.2018;11:28:43;-3.41E-01;3.62E-02;-1.12E-02;-2.28E-01
1;9;-51500;09.11.2018;11:28:55;-3.38E-01;3.57E-02;-1.11E-02;-2.28E-01
1;10;-51000;09.11.2018;11:29:07;-3.44E-01;3.52E-02;-1.09E-02;-2.27E-01
1;11;-50500;09.11.2018;11:29:19;-3.40E-01;3.55E-02;-1.08E-02;-2.26E-01
1;12;-50000;09.11.2018;11:29:31;-3.51E-01;3.57E-02;-1.06E-02;-2.25E-01
1;13;-49500;09.11.2018;11:29:43;-3.58E-01;3.64E-02;-1.05E-02;-2.24E-01
1;14;-49000;09.11.2018;11:29:55;-3.63E-01;3.66E-02;-1.03E-02;-2.23E-01
1;15;-48500;09.11.2018;11:30:07;-3.56E-01;3.69E-02;-1.02E-02;-2.22E-01
1;16;-48000;09.11.2018;11:30:19;-3.70E-01;3.72E-02;-1.01E-02;-2.21E-01
1;17;-47500;09.11.2018;11:30:31;-3.78E-01;3.69E-02;-1.00E-02;-2.20E-01
1;18;-47000;09.11.2018;11:30:43;-3.58E-01;3.56E-02;-9.88E-03;-2.19E-01
1;19;-46500;09.11.2018;11:30:54;-3.61E-01;3.38E-02;-9.77E-03;-2.18E-01
1;20;-46000;09.11.2018;11:31:06;-3.60E-01;3.19E-02;-9.66E-03;-2.17E-01
1;21;-45500;09.11.2018;11:31:18;-3.53E-01;3.05E-02;-9.57E-03;-2.15E-01
1;22;-45000;09.11.2018;11:31:30;-3.58E-01;2.98E-02;-9.45E-03;-2.13E-01
1;23;-44500;09.11.2018;11:31:42;-3.64E-01;2.96E-02;-9.36E-03;-2.12E-01
1;24;-44000;09.11.2018;11:31:54;-3.57E-01;3.04E-02;-9.26E-03;-2.10E-01
1;25;-43500;09.11.2018;11:32:06;-3.61E-01;3.10E-02;-9.16E-03;-2.09E-01
1;26;-43000;09.11.2018;11:32:18;-3.67E-01;3.05E-02;-9.00E-03;-2.08E-01
1;27;-42500;09.11.2018;11:32:30;-3.69E-01;3.02E-02;-8.79E-03;-2.08E-01
1;28;-42000;09.11.2018;11:32:42;-3.70E-01;3.09E-02;-8.61E-03;-2.07E-01
1;29;-41500;09.11.2018;11:32:54;-3.63E-01;3.12E-02;-8.46E-03;-2.06E-01
1;30;-41000;09.11.2018;11:33:06;-3.65E-01;3.11E-02;-8.31E-03;-2.05E-01
1;31;-40500;09.11.2018;11:33:18;-3.64E-01;3.00E-02;-8.17E-03;-2.05E-01
1;32;-40000;09.11.2018;11:33:29;-3.65E-01;2.78E-02;-8.04E-03;-2.04E-01
1;33;-39500;09.11.2018;11:33:41;-3.69E-01;2.67E-02;-7.92E-03;-2.03E-01
1;34;-39000;09.11.2018;11:33:53;-3.68E-01;2.67E-02;-7.79E-03;-2.02E-01
1;35;-38500;09.11.2018;11:34:05;-3.69E-01;2.76E-02;-7.68E-03;-2.01E-01
1;36;-38000;09.11.2018;11:34:17;-3.69E-01;2.84E-02;-7.56E-03;-2.01E-01
1;37;-37500;09.11.2018;11:34:29;-3.72E-01;2.87E-02;-7.43E-03;-2.00E-01
1;38;-37000;09.11.2018;11:34:41;-3.73E-01;2.90E-02;-7.33E-03;-2.00E-01
1;39;-36500;09.11.2018;11:34:53;-3.71E-01;2.88E-02;-7.22E-03;-1.99E-01
1;40;-36000;09.11.2018;11:35:05;-3.74E-01;2.84E-02;-7.14E-03;-1.98E-01
1;41;-35500;09.11.2018;11:35:17;-3.72E-01;2.87E-02;-7.06E-03;-1.98E-01
1;42;-35000;09.11.2018;11:35:29;-3.70E-01;2.91E-02;-7.00E-03;-1.97E-01
1;43;-34500;09.11.2018;11:35:41;-3.72E-01;2.89E-02;-6.94E-03;-1.96E-01
1;44;-34000;09.11.2018;11:35:53;-3.69E-01;2.80E-02;-6.89E-03;-1.96E-01
1;45;-33500;09.11.2018;11:36:04;-3.72E-01;2.72E-02;-6.81E-03;-1.95E-01
1;46;-33000;09.11.2018;11:36:16;-3.66E-01;2.77E-02;-6.73E-03;-1.94E-01
1;47;-32500;09.11.2018;11:36:28;-3.70E-01;2.87E-02;-6.67E-03;-1.94E-01
1;48;-32000;09.11.2018;11:36:40;-3.65E-01;2.99E-02;-6.65E-03;-1.93E-01
1;49;-31500;09.11.2018;11:36:52;-3.65E-01;3.00E-02;-6.65E-03;-1.92E-01
1;50;-31000;09.11.2018;11:37:04;-3.65E-01;2.94E-02;-6.66E-03;-1.92E-01
1;51;-30500;09.11.2018;11:37:16;-3.58E-01;2.92E-02;-6.63E-03;-1.91E-01
1;52;-30000;09.11.2018;11:37:28;-3.54E-01;2.91E-02;-6.63E-03;-1.90E-01
1;53;-29500;09.11.2018;11:37:40;-3.46E-01;2.89E-02;-6.61E-03;-1.90E-01
1;54;-29000;09.11.2018;11:37:52;-3.48E-01;2.86E-02;-6.59E-03;-1.89E-01
1;55;-28500;09.11.2018;11:38:04;-3.43E-01;2.88E-02;-6.60E-03;-1.88E-01
1;56;-28000;09.11.2018;11:38:16;-3.42E-01;2.91E-02;-6.54E-03;-1.88E-01
1;57;-27500;09.11.2018;11:38:28;-3.40E-01;2.94E-02;-6.52E-03;-1.87E-01
1;58;-27000;09.11.2018;11:38:39;-3.41E-01;2.96E-02;-6.52E-03;-1.87E-01
1;59;-26500;09.11.2018;11:38:51;-3.42E-01;2.98E-02;-6.46E-03;-1.86E-01
1;60;-26000;09.11.2018;11:39:03;-3.43E-01;2.97E-02;-6.45E-03;-1.86E-01
1;61;-25500;09.11.2018;11:39:15;-3.42E-01;2.96E-02;-6.45E-03;-1.85E-01
1;62;-25000;09.11.2018;11:39:27;-3.40E-01;2.95E-02;-6.44E-03;-1.85E-01
1;63;-24500;09.11.2018;11:39:39;-3.38E-01;2.97E-02;-6.41E-03;-1.84E-01
1;64;-24000;09.11.2018;11:39:51;-3.42E-01;3.06E-02;-6.41E-03;-1.84E-01
1;65;-23500;09.11.2018;11:40:03;-3.33E-01;3.14E-02;-6.41E-03;-1.84E-01
1;66;-23000;09.11.2018;11:40:15;-3.35E-01;3.16E-02;-6.42E-03;-1.83E-01
1;67;-22500;09.11.2018;11:40:27;-3.36E-01;3.15E-02;-6.43E-03;-1.83E-01
1;68;-22000;09.11.2018;11:40:39;-3.34E-01;3.14E-02;-6.43E-03;-1.83E-01
1;69;-21500;09.11.2018;11:40:51;-3.28E-01;3.15E-02;-6.44E-03;-1.82E-01
1;70;-21000;09.11.2018;11:41:02;-3.29E-01;3.15E-02;-6.47E-03;-1.82E-01
1;71;-20500;09.11.2018;11:41:14;-3.28E-01;3.15E-02;-6.47E-03;-1.82E-01
1;72;-20000;09.11.2018;11:41:26;-3.25E-01;3.13E-02;-6.50E-03;-1.81E-01
1;73;-19500;09.11.2018;11:41:38;-3.26E-01;3.10E-02;-6.51E-03;-1.81E-01
1;74;-19000;09.11.2018;11:41:50;-3.25E-01;3.06E-02;-6.49E-03;-1.81E-01
1;75;-18500;09.11.2018;11:42:02;-3.25E-01;3.04E-02;-6.52E-03;-1.81E-01
1;76;-18000;09.11.2018;11:42:14;-3.26E-01;3.04E-02;-6.54E-03;-1.80E-01
1;77;-17500;09.11.2018;11:42:26;-3.24E-01;3.07E-02;-6.59E-03;-1.80E-01
1;78;-17000;09.11.2018;11:42:38;-3.27E-01;3.11E-02;-6.64E-03;-1.80E-01
1;79;-16500;09.11.2018;11:42:50;-3.21E-01;3.00E-02;-6.67E-03;-1.79E-01
1;80;-16000;09.11.2018;11:43:02;-3.20E-01;2.62E-02;-6.75E-03;-1.79E-01
1;81;-15500;09.11.2018;11:43:14;-3.22E-01;3.20E-02;-6.78E-03;-1.79E-01
1;82;-15000;09.11.2018;11:43:26;-3.24E-01;2.58E-02;-6.94E-03;-1.78E-01
1;83;-14500;09.11.2018;11:43:37;-3.25E-01;2.57E-02;-7.10E-03;-1.78E-01
1;84;-14000;09.11.2018;11:43:49;-3.19E-01;2.78E-02;-7.28E-03;-1.77E-01
1;85;-13500;09.11.2018;11:44:01;-3.16E-01;2.87E-02;-7.44E-03;-1.77E-01
1;86;-13000;09.11.2018;11:44:13;-3.15E-01;2.93E-02;-7.72E-03;-1.76E-01
1;87;-12500;09.11.2018;11:44:25;-3.22E-01;2.89E-02;-7.99E-03;-1.76E-01
1;88;-12000;09.11.2018;11:44:37;-3.24E-01;2.79E-02;-8.23E-03;-1.75E-01
1;89;-11500;09.11.2018;11:44:49;-3.23E-01;2.71E-02;-8.46E-03;-1.75E-01
1;90;-11000;09.11.2018;11:45:01;-3.19E-01;2.67E-02;-8.68E-03;-1.74E-01
1;91;-10500;09.11.2018;11:45:13;-3.19E-01;2.64E-02;-8.86E-03;-1.74E-01
1;92;-10000;09.11.2018;11:45:25;-3.09E-01;2.67E-02;-9.05E-03;-1.74E-01
1;93;-9500;09.11.2018;11:45:37;-3.11E-01;2.72E-02;-9.23E-03;-1.73E-01
1;94;-9000;09.11.2018;11:45:49;-3.07E-01;2.77E-02;-9.38E-03;-1.73E-01
1;95;-8500;09.11.2018;11:46:00;-3.03E-01;2.87E-02;-9.52E-03;-1.72E-01
1;96;-8000;09.11.2018;11:46:12;-3.00E-01;2.91E-02;-9.67E-03;-1.72E-01
1;97;-7500;09.11.2018;11:46:24;-2.98E-01;2.91E-02;-9.79E-03;-1.72E-01
1;98;-7000;09.11.2018;11:46:36;-2.95E-01;2.89E-02;-9.88E-03;-1.71E-01
